date	pa_conc	strain	replicate	pheno
10132015	40	JU258	A	100
10132015	60	JU258	A	92.3076923076923
10132015	80	JU258	A	44.1558441558442
10132015	100	JU258	A	5.79710144927536
10132015	120	JU258	A	0
10132015	140	JU258	A	0
10152015	0	JU258	A	100
10152015	20	JU258	A	100
10152015	40	JU258	A	100
10152015	60	JU258	A	100
10152015	80	JU258	A	97.6470588235294
10152015	100	JU258	A	0
10152015	120	JU258	A	0
10152015	140	JU258	A	0
10192015	0	JU258	A	100
10192015	20	JU258	A	100
10192015	40	JU258	A	100
10192015	60	JU258	A	100
10192015	80	JU258	A	57.1428571428571
10192015	100	JU258	A	0
10192015	120	JU258	A	0
10192015	140	JU258	A	0
10132015	0	JU258	B	100
10132015	20	JU258	B	100
10132015	40	JU258	B	100
10132015	60	JU258	B	91.1764705882353
10132015	80	JU258	B	21.7821782178218
10132015	100	JU258	B	8.54700854700855
10132015	120	JU258	B	0
10132015	140	JU258	B	0
10152015	0	JU258	B	100
10152015	20	JU258	B	100
10152015	40	JU258	B	100
10152015	60	JU258	B	100
10152015	80	JU258	B	97.7777777777778
10152015	100	JU258	B	1.02040816326531
10152015	120	JU258	B	0
10152015	140	JU258	B	0
10192015	0	JU258	B	96.551724137931
10192015	20	JU258	B	98.2142857142857
10192015	40	JU258	B	98.9795918367347
10192015	60	JU258	B	97.8494623655914
10192015	80	JU258	B	53.8461538461538
10192015	100	JU258	B	0
10192015	120	JU258	B	0
10192015	140	JU258	B	0
10132015	0	JU258	C	100
10132015	20	JU258	C	99.236641221374
10132015	40	JU258	C	100
10132015	60	JU258	C	97.4025974025974
10132015	80	JU258	C	37.6623376623377
10132015	100	JU258	C	14.3939393939394
10132015	120	JU258	C	0
10132015	140	JU258	C	0
10152015	0	JU258	C	100
10152015	20	JU258	C	100
10152015	40	JU258	C	100
10152015	60	JU258	C	100
10152015	80	JU258	C	92.6829268292683
10152015	100	JU258	C	2.04081632653061
10152015	120	JU258	C	0
10152015	140	JU258	C	0
10192015	0	JU258	C	100
10192015	20	JU258	C	100
10192015	40	JU258	C	99.0654205607477
10192015	60	JU258	C	98.8095238095238
