date	pa_conc	strain	replicate	pheno	dose_mean
10192015	60	JT11398	A	100	98.87392649513541
10192015	80	JT11398	A	86.8131868131868	70.92735327915793
10192015	100	JT11398	A	1.06382978723404	3.2064995042068416
10192015	120	JT11398	A	0	1.571576571576571
10192015	140	JT11398	A	0	0
10132015	0	JT11398	B	100	100
10132015	20	JT11398	B	100	100
10132015	40	JT11398	B	100	99.57849048428758
10132015	60	JT11398	B	96.4467005076142	98.87392649513541
10132015	80	JT11398	B	27.0588235294118	70.92735327915793
10132015	100	JT11398	B	9.03614457831325	3.2064995042068416
10132015	120	JT11398	B	3.78787878787879	1.571576571576571
10132015	140	JT11398	B	0	0
10152015	0	JT11398	B	100	100
10152015	20	JT11398	B	100	100
10152015	40	JT11398	B	98.989898989899	99.57849048428758
10152015	60	JT11398	B	100	98.87392649513541
10152015	80	JT11398	B	98.9473684210526	70.92735327915793
10152015	100	JT11398	B	0	3.2064995042068416
10152015	120	JT11398	B	0	1.571576571576571
10152015	140	JT11398	B	0	0
10192015	0	JT11398	B	100	100
10192015	20	JT11398	B	100	100
10192015	40	JT11398	B	99.0476190476191	99.57849048428758
10192015	60	JT11398	B	99.1452991452991	98.87392649513541
10192015	80	JT11398	B	88.3720930232558	70.92735327915793
10192015	100	JT11398	B	0.952380952380952	3.2064995042068416
10192015	120	JT11398	B	0	1.571576571576571
10192015	140	JT11398	B	0	0
10132015	0	JT11398	C	100	100
10132015	20	JT11398	C	100	100
10132015	40	JT11398	C	100	99.57849048428758
10132015	60	JT11398	C	97.8947368421053	98.87392649513541
10132015	80	JT11398	C	27.7173913043478	70.92735327915793
10132015	100	JT11398	C	6.56565656565657	3.2064995042068416
10132015	120	JT11398	C	4.76190476190476	1.571576571576571
10132015	140	JT11398	C	0	0
10152015	0	JT11398	C	100	100
10152015	20	JT11398	C	100	100
10152015	40	JT11398	C	99.1304347826087	99.57849048428758
10152015	60	JT11398	C	100	98.87392649513541
10152015	80	JT11398	C	97.1698113207547	70.92735327915793
10152015	100	JT11398	C	0	3.2064995042068416
10152015	120	JT11398	C	0	1.571576571576571
10152015	140	JT11398	C	0	0
10192015	0	JT11398	C	100	100
10192015	20	JT11398	C	100	100
10192015	40	JT11398	C	100	99.57849048428758
10192015	60	JT11398	C	99.1228070175439	98.87392649513541
10192015	80	JT11398	C	90.9090909090909	70.92735327915793
10192015	100	JT11398	C	3.44827586206897	3.2064995042068416
10192015	120	JT11398	C	0	1.571576571576571
10192015	140	JT11398	C	0	0
10132015	0	MY16	A	100	100
10132015	20	MY16	A	100	99.90421455938697
10132015	40	MY16	A	100	100
10132015	60	MY16	A	100	100
10132015	80	MY16	A	92.4528301886792	95.24950902442954
10132015	100	MY16	A	15.4929577464789	38.21576088762157
10132015	120	MY16	A	3.03030303030303	5.871580831391707
10132015	140	MY16	A	0	0
10152015	0	MY16	A	100	100
10152015	20	MY16	A	100	99.90421455938697
10152015	40	MY16	A	100	100
10152015	60	MY16	A	100	100
10152015	80	MY16	A	98.0769230769231	95.24950902442954
10152015	100	MY16	A	56.25	38.21576088762157
10152015	120	MY16	A	10	5.871580831391707
10152015	140	MY16	A	0	0
10192015	0	MY16	A	100	100
10192015	20	MY16	A	100	99.90421455938697
10192015	40	MY16	A	100	100
10192015	60	MY16	A	100	100
10192015	80	MY16	A	100	95.24950902442954
10192015	100	MY16	A	38.961038961039	38.21576088762157
10192015	120	MY16	A	0	5.871580831391707
10192015	140	MY16	A	0	0
10132015	0	MY16	B	100	100
10132015	20	MY16	B	100	99.90421455938697
10132015	40	MY16	B	100	100
10132015	60	MY16	B	100	100
10132015	80	MY16	B	83.3333333333333	95.24950902442954
10132015	100	MY16	B	14.8148148148148	38.21576088762157
10132015	120	MY16	B	7.80141843971631	5.871580831391707
10132015	140	MY16	B	0	0
10152015	0	MY16	B	100	100
10152015	20	MY16	B	100	99.90421455938697
10152015	40	MY16	B	100	100
10152015	60	MY16	B	100	100
10152015	80	MY16	B	98.8636363636364	95.24950902442954
10152015	100	MY16	B	56.4705882352941	38.21576088762157
10152015	120	MY16	B	18.1818181818182	5.871580831391707
10152015	140	MY16	B	0	0
10192015	0	MY16	B	100	100
10192015	20	MY16	B	100	99.90421455938697
10192015	40	MY16	B	100	100
10192015	60	MY16	B	100	100
10192015	80	MY16	B	97.5609756097561	95.24950902442954
10192015	100	MY16	B	46.5346534653465	38.21576088762157
10192015	120	MY16	B	0.925925925925926	5.871580831391707
10192015	140	MY16	B	0	0
10132015	0	MY16	C	100	100
10132015	20	MY16	C	100	99.90421455938697
10132015	40	MY16	C	100	100
10132015	60	MY16	C	100	100
10132015	80	MY16	C	94.5945945945946	95.24950902442954
10132015	100	MY16	C	24.6031746031746	38.21576088762157
10132015	120	MY16	C	3.57142857142857	5.871580831391707
10132015	140	MY16	C	0	0
10152015	0	MY16	C	100	100
10152015	20	MY16	C	100	99.90421455938697
10152015	40	MY16	C	100	100
10152015	60	MY16	C	100	100
10152015	80	MY16	C	97.4137931034483	95.24950902442954
10152015	100	MY16	C	54.9450549450549	38.21576088762157
10152015	120	MY16	C	8.33333333333333	5.871580831391707
10152015	140	MY16	C	0	0
10192015	0	MY16	C	100	100
10192015	20	MY16	C	99.1379310344828	99.90421455938697
10192015	40	MY16	C	100	100
10192015	60	MY16	C	100	100
10192015	80	MY16	C	94.9494949494949	95.24950902442954
10192015	100	MY16	C	35.8695652173913	38.21576088762157
10192015	120	MY16	C	1	5.871580831391707
10192015	140	MY16	C	0	0
10132015	0	CB4856	A	100	99.76851851851852
10132015	20	CB4856	A	96.1538461538462	99.36496525281572
10132015	40	CB4856	A	100	99.88545246277205
10132015	60	CB4856	A	96.1538461538462	97.73345414440563
10132015	80	CB4856	A	21.1267605633803	69.3832926827824
10132015	100	CB4856	A	0	2.173466965133632
10132015	120	CB4856	A	0	0
10132015	140	CB4856	A	0	0
10152015	0	CB4856	A	100	99.76851851851852
10152015	20	CB4856	A	100	99.36496525281572
10152015	40	CB4856	A	100	99.88545246277205
